pH1,Nutrients1,SH_Grazing,Ulva_grazing,diatom_grazing,epiphyte_grazing,IGNORE,Rep,pH,Nutrients,Shoot_length,Sht_g_DW,Rhi_Elong_cm,Rhi_mass_g_DW
7.29,Nutrients added,2.994731559,0,9.722222222,9.722222222,,25,6.99,No Nutrients,na,na,na,na
7.29,Nutrients added,0,0,16.66666667,16.66666667,,1,7.14,No Nutrients,36,0.2924,4,0.4014
7.29,Nutrients added,3.473155252,1.388888889,11.11111111,12.5,,2,7.14,No Nutrients,na,na,na,na
7.43,Nutrients added,8.66981139,0,34.72222222,34.72222222,,3,7.14,No Nutrients,na,na,na,na
7.43,Nutrients added,17.73824136,2.083333333,31.25,33.33333333,,4,7.14,No Nutrients,16,0.1148,1.6,0.3555
7.43,Nutrients added,7.352206272,0,35.41666667,35.41666667,,5,7.14,No Nutrients,31,0.5834,2,0.5397
7.73,Nutrients added,12.41662004,0.694444444,28.47222222,29.16666667,,6,7.14,No Nutrients,53,0.4108,0,0.2275
7.73,Nutrients added,9.711448023,0,35.41666667,35.41666667,,7,7.14,No Nutrients,53,0.4601,2.6,0.4532
7.73,Nutrients added,48.70481881,0,11.80555556,11.80555556,,8,7.14,No Nutrients,54,0.5798,1.6,0.2501
7.86,Nutrients added,2.093936516,0,15.97222222,15.97222222,,9,7.14,No Nutrients,40,0.1851,2.2,0.7752
7.86,Nutrients added,1.292229419,0,15.27777778,15.27777778,,10,7.14,No Nutrients,na,na,na,na
7.86,Nutrients added,8.305835451,0,19.79166667,19.79166667,,11,7.14,No Nutrients,55,0.3091,1,0.4398
,,,,,,,12,7.14,No Nutrients,56,0.3391,1,0.3459
,,,,,,,13,7.14,No Nutrients,62,0.458,3,0.4187
,,,,,,,14,7.14,No Nutrients,65,0.4203,1,0.6164
,,,,,,,15,7.14,No Nutrients,33,0.3006,2,0.2727
,,,,,,,16,7.14,No Nutrients,12.2,0.2994,-0.4,0.2312
,,,,,,,17,7.14,No Nutrients,51,0.398,4.8,0.3522
,,,,,,,18,7.14,No Nutrients,na,na,na,na
,,,,,,,19,7.14,No Nutrients,60,0.5967,1,0.341
,,,,,,,20,7.14,No Nutrients,46,0.424,2.6,0.282
,,,,,,,21,7.14,No Nutrients,42,0.4844,2.4,0.3099
,,,,,,,22,7.14,No Nutrients,37,0.3219,3,0.5204
,,,,,,,23,7.14,No Nutrients,43,0.3052,1,0.228
,,,,,,,24,7.14,No Nutrients,28,0.1973,-0.4,0.1663
,,,,,,,25,7.14,No Nutrients,42,0.1921,2.2,0.2256
,,,,,,,1,7.29,No Nutrients,51.4,0.4162,3,0.24
,,,,,,,2,7.29,No Nutrients,52.2,0.4214,2.6,0.1818
,,,,,,,3,7.29,No Nutrients,29,0.2434,1.8,0.1973
,,,,,,,4,7.29,No Nutrients,45.8,0.3301,1,0.3942
,,,,,,,5,7.29,No Nutrients,22.6,0.1931,1.2,0.1944
,,,,,,,6,7.29,No Nutrients,43,0.277,3.6,0.3756
,,,,,,,7,7.29,No Nutrients,38.8,0.3646,5,0.3191
,,,,,,,8,7.29,No Nutrients,49,0.2178,0.8,0.0885
,,,,,,,9,7.29,No Nutrients,40.6,0.2686,3.8,0.3387
,,,,,,,10,7.29,No Nutrients,50.4,0.3607,2.8,0.324
,,,,,,,11,7.29,No Nutrients,31.4,0.2584,2,0.3096
,,,,,,,12,7.29,No Nutrients,44.4,0.3434,1.1,0.1902
,,,,,,,13,7.29,No Nutrients,43.1,0.3168,0.4,0.1816
,,,,,,,14,7.29,No Nutrients,63.2,0.4533,3.6,0.4188
,,,,,,,15,7.29,No Nutrients,41.4,0.2812,-0.4,0.1372
,,,,,,,16,7.29,No Nutrients,47.2,0.3326,3.8,0.2504
,,,,,,,17,7.29,No Nutrients,42.6,0.2383,2.4,0.1617
,,,,,,,18,7.29,No Nutrients,32,0.1794,2.8,0.2269
,,,,,,,19,7.29,No Nutrients,29.2,0.2269,2.7,0.1934
,,,,,,,20,7.29,No Nutrients,na,na,na,na
,,,,,,,21,7.29,No Nutrients,55.2,0.3524,0.4,0.1918
,,,,,,,22,7.29,No Nutrients,47.6,0.2013,0.8,0.1567
,,,,,,,23,7.29,No Nutrients,41.8,0.2856,2.2,0.1993
,,,,,,,24,7.29,No Nutrients,na,na,na,na
,,,,,,,25,7.29,No Nutrients,57.4,0.4012,2.1,0.2723
,,,,,,,1,7.43,No Nutrients,16.4,0.0595,-2.5,0.1103
,,,,,,,2,7.43,No Nutrients,47.3,0.4545,0.1,0.1735
,,,,,,,3,7.43,No Nutrients,43.4,0.1988,2.1,0.3975
,,,,,,,4,7.43,No Nutrients,59.3,0.4855,3.2,0.6243
,,,,,,,5,7.43,No Nutrients,53.9,0.3634,1.7,0.3044
,,,,,,,6,7.43,No Nutrients,43.1,0.348,4.2,1.1024
,,,,,,,7,7.43,No Nutrients,38.2,0.3191,0.5,0.3942
,,,,,,,8,7.43,No Nutrients,56.3,0.3698,2.3,0.2893
,,,,,,,9,7.43,No Nutrients,28.2,0.1958,2.1,0.4075
,,,,,,,10,7.43,No Nutrients,44.1,0.3912,2.3,0.4907
,,,,,,,11,7.43,No Nutrients,60.7,0.3221,3.8,0.2083
,,,,,,,12,7.43,No Nutrients,39.4,0.2669,0.4,0.2103
,,,,,,,13,7.43,No Nutrients,60.4,0.3487,1.3,0.4625
,,,,,,,14,7.43,No Nutrients,46.2,0.2533,0.8,0.3092
,,,,,,,15,7.43,No Nutrients,51.4,0.4303,0.1,0.293
,,,,,,,16,7.43,No Nutrients,51.4,0.4187,4,0.4121
,,,,,,,17,7.43,No Nutrients,58.6,0.3849,3.2,0.447
,,,,,,,18,7.43,No Nutrients,29.4,0.2352,2.5,0.3027
,,,,,,,19,7.43,No Nutrients,53.6,0.3872,3.7,0.407
,,,,,,,20,7.43,No Nutrients,52,0.2878,1.1,0.2611
,,,,,,,21,7.43,No Nutrients,26.2,0.1069,0.3,0.1798
,,,,,,,22,7.43,No Nutrients,34.6,0.2804,1.4,0.3143
,,,,,,,23,7.43,No Nutrients,45.3,0.2879,3.2,0.3521
,,,,,,,24,7.43,No Nutrients,37.5,0.2705,1.6,0.4634
,,,,,,,25,7.43,No Nutrients,62.2,0.352,1.1,0.3287
,,,,,,,4a,7.43,No Nutrients,10.3,0.0488,na,na
,,,,,,,1,7.58,No Nutrients,40.8,0.3518,3,0.4119
,,,,,,,2,7.58,No Nutrients,62,0.5516,4.3,0.9598
,,,,,,,3,7.58,No Nutrients,57.9,0.3126,2.9,0.6601
,,,,,,,4,7.58,No Nutrients,43,0.2475,1.4,0.5157
,,,,,,,5,7.58,No Nutrients,53.5,0.2369,1.8,0.5003
,,,,,,,6,7.58,No Nutrients,56,0.3177,3.3,0.491
,,,,,,,7,7.58,No Nutrients,34,0.1383,0.3,0.9663
,,,,,,,8,7.58,No Nutrients,48,0.4428,6,1.2874
,,,,,,,9,7.58,No Nutrients,61.3,0.5362,2.4,0.9928
,,,,,,,10,7.58,No Nutrients,56.2,0.2951,4.1,0.5571
,,,,,,,11,7.58,No Nutrients,45.6,0.2199,1.4,0.3458
,,,,,,,12,7.58,No Nutrients,49,0.2358,2.7,0.2565
,,,,,,,13,7.58,No Nutrients,49.9,0.2627,4.5,0.5867
,,,,,,,14,7.58,No Nutrients,52.8,0.2314,2.2,0.4147
,,,,,,,15,7.58,No Nutrients,na,na,na,na
,,,,,,,16,7.58,No Nutrients,57.8,0.149,1.2,0.2315
,,,,,,,17,7.58,No Nutrients,38.6,0.0643,0.4,0.15
,,,,,,,18,7.58,No Nutrients,60.2,0.2847,2.7,0.3116
,,,,,,,19,7.58,No Nutrients,63.2,0.2789,0.1,0.2847
,,,,,,,20,7.58,No Nutrients,40.1,0.2701,1.8,0.3832
,,,,,,,21,7.58,No Nutrients,65,0.2586,1.8,0.2731
,,,,,,,22,7.58,No Nutrients,45.2,0.1927,0.4,0.1614
,,,,,,,23,7.58,No Nutrients,43,0.2265,1.2,0.1967
,,,,,,,24,7.58,No Nutrients,39.4,0.2251,0.9,0.1319
,,,,,,,25,7.58,No Nutrients,39.6,0.0964,0.8,0.146
,,,,,,,1,7.73,No Nutrients,48.1,0.3812,4.3,0.4033
,,,,,,,2,7.73,No Nutrients,59.3,0.3491,-0.1,0.1746
,,,,,,,3,7.73,No Nutrients,30.8,0.3038,2.6,0.3149
,,,,,,,4,7.73,No Nutrients,20,0.3475,-0.2,0.1952
,,,,,,,5,7.73,No Nutrients,19.8,0.2636,0,0.2631
,,,,,,,6,7.73,No Nutrients,41.8,0.3861,1.1,0.2927
,,,,,,,7,7.73,No Nutrients,57.8,0.4058,1,0.1642
,,,,,,,8,7.73,No Nutrients,37,0.1947,-1.6,0.1327
,,,,,,,9,7.73,No Nutrients,39,0.2271,0.2,0.2038
,,,,,,,10,7.73,No Nutrients,39.8,0.6902,-0.5,0.1339
,,,,,,,11,7.73,No Nutrients,40.8,0.3079,0.3,0.1743
,,,,,,,12,7.73,No Nutrients,50.8,0.9099,3.5,0.2887
,,,,,,,13,7.73,No Nutrients,38.7,0.2078,1,0.1304
,,,,,,,14,7.73,No Nutrients,49.4,0.2848,0.6,0.2507
,,,,,,,15,7.73,No Nutrients,44.2,0.2877,0.7,0.2167
,,,,,,,16,7.73,No Nutrients,34.6,0.2295,1,0.2416
,,,,,,,17,7.73,No Nutrients,19.5,0.2226,1.7,0.1982
,,,,,,,18,7.73,No Nutrients,50.8,0.2973,3.5,0.3694
,,,,,,,19,7.73,No Nutrients,21.2,0.4454,3.2,0.2829
,,,,,,,20,7.73,No Nutrients,42.5,0.3047,3.2,0.2443
,,,,,,,21,7.73,No Nutrients,39.4,0.2818,3.5,0.2785
,,,,,,,22,7.73,No Nutrients,20.4,0.3109,1.2,0.3369
,,,,,,,23,7.73,No Nutrients,41.6,0.1963,1.3,0.1227
,,,,,,,24,7.73,No Nutrients,35.6,0.2402,-1.9,0.2743
,,,,,,,25,7.73,No Nutrients,na,na,na,na
,,,,,,,1,7.86,No Nutrients,48.6,0.3856,2.9,0.1132
,,,,,,,2,7.86,No Nutrients,33.4,0.2646,0.6,0.1637
,,,,,,,3,7.86,No Nutrients,50.8,0.2943,1.2,0.2232
,,,,,,,4,7.86,No Nutrients,41.7,0.2066,1,0.183
,,,,,,,5,7.86,No Nutrients,44.6,0.1946,2,0.1849
,,,,,,,6,7.86,No Nutrients,49.3,0.2867,3.4,0.2798
,,,,,,,7,7.86,No Nutrients,60.6,0.381,1.4,0.2001
,,,,,,,8,7.86,No Nutrients,83.3,0.3078,2,0.2349
,,,,,,,9,7.86,No Nutrients,46.3,0.2721,-1.1,0.1234
,,,,,,,10,7.86,No Nutrients,50.2,0.2742,2.6,0.2248
,,,,,,,11,7.86,No Nutrients,47.4,0.3489,1.3,0.259
,,,,,,,12,7.86,No Nutrients,45.5,0.3202,2.2,0.2717
,,,,,,,13,7.86,No Nutrients,53.1,0.2923,2.6,0.3121
,,,,,,,14,7.86,No Nutrients,60.4,0.3857,2.4,0.3333
,,,,,,,15,7.86,No Nutrients,16.2,0.1445,2.2,0.2676
,,,,,,,16,7.86,No Nutrients,35.5,0.1868,4.6,0.3517
,,,,,,,17,7.86,No Nutrients,na,na,na,na
,,,,,,,18,7.86,No Nutrients,48.5,0.2369,1.6,0.1911
,,,,,,,19,7.86,No Nutrients,38.6,0.2244,2.7,0.2895
,,,,,,,20,7.86,No Nutrients,30.1,0.1555,0.7,0.1838
,,,,,,,21,7.86,No Nutrients,35.2,0.2086,4.4,0.3281
,,,,,,,22,7.86,No Nutrients,34.7,0.1501,0.4,0.1313
,,,,,,,23,7.86,No Nutrients,37.8,0.1466,2.6,0.1876
,,,,,,,24,7.86,No Nutrients,55.2,0.2457,2.6,0.223
,,,,,,,25,7.86,No Nutrients,49.3,0.2634,1.2,0.191
,,,,,,,1,6.99,Nutrients added,50.8,0.3359,3.6,0.314
,,,,,,,2,6.99,Nutrients added,58,0.3353,1.9,0.2034
,,,,,,,3,6.99,Nutrients added,65.6,0.4452,2.6,0.2665
,,,,,,,4,6.99,Nutrients added,46.6,0.322,2.6,0.3526
,,,,,,,5,6.99,Nutrients added,36.4,0.2885,4.2,0.3971
,,,,,,,6,6.99,Nutrients added,48.2,0.4793,3.6,0.608
,,,,,,,7,6.99,Nutrients added,56.2,0.3904,1.8,0.2311
,,,,,,,8,6.99,Nutrients added,27,0.3711,6.8,0.1584
,,,,,,,9,6.99,Nutrients added,53.3,0.1936,6.6,0.1398
,,,,,,,10,6.99,Nutrients added,53.6,0.4196,0.8,0.2434
,,,,,,,11,6.99,Nutrients added,43.4,0.4489,1.9,0.301
,,,,,,,12,6.99,Nutrients added,41.2,0.2927,2.6,0.3007
,,,,,,,13,6.99,Nutrients added,44.6,0.4069,0.5,0.3601
,,,,,,,14,6.99,Nutrients added,37.5,0.3973,0.6,0.2586
,,,,,,,15,6.99,Nutrients added,59.8,0.3873,2.8,0.3063
,,,,,,,16,6.99,Nutrients added,69.1,0.4029,-0.4,0.1984
,,,,,,,17,6.99,Nutrients added,45.9,0.3002,2.7,0.2886
,,,,,,,18,6.99,Nutrients added,na,na,na,na
,,,,,,,19,6.99,Nutrients added,46.8,0.3541,1.1,0.3108
,,,,,,,20,6.99,Nutrients added,47.2,0.3143,2.2,0.2506
,,,,,,,21,6.99,Nutrients added,37.4,0.2508,1.1,0.2353
,,,,,,,22,6.99,Nutrients added,52,0.3569,1.4,0.3344
,,,,,,,23,6.99,Nutrients added,52.4,0.3953,1.3,0.2531
,,,,,,,24,6.99,Nutrients added,24.7,0.1281,0.3,0.3222
,,,,,,,25,6.99,Nutrients added,24.6,0.0878,-0.6,0.2541
,,,,,,,25a,6.99,Nutrients added,17.6,0.0738,na,na
,,,,,,,25b,6.99,Nutrients added,18.6,0.0799,na,na
,,,,,,,1,7.14,Nutrients added,56.1,0.4003,4.2,0.4279
,,,,,,,2,7.14,Nutrients added,46.2,0.2464,3.2,0.3308
,,,,,,,3,7.14,Nutrients added,49.7,0.2955,4,0.3253
,,,,,,,4,7.14,Nutrients added,30.4,0.2743,3.1,0.2668
,,,,,,,5,7.14,Nutrients added,48.3,0.3919,4.7,0.3662
,,,,,,,6,7.14,Nutrients added,60.1,0.3419,6,0.4587
,,,,,,,7,7.14,Nutrients added,48.5,0.2441,2.8,0.3202
,,,,,,,8,7.14,Nutrients added,20.1,0.2641,2.8,0.2886
,,,,,,,9,7.14,Nutrients added,49.4,0.3662,0.7,0.1777
,,,,,,,10,7.14,Nutrients added,33.2,0.2554,0.2,0.1608
,,,,,,,11,7.14,Nutrients added,48.4,0.2823,3.9,0.4591
,,,,,,,12,7.14,Nutrients added,46.8,0.2571,3.1,0.2711
,,,,,,,13,7.14,Nutrients added,26.6,0.1246,0.9,0.1841
,,,,,,,14,7.14,Nutrients added,na,na,na,na
,,,,,,,15,7.14,Nutrients added,na,na,na,na
,,,,,,,16,7.14,Nutrients added,42.2,0.4021,1.1,0.2542
,,,,,,,17,7.14,Nutrients added,42.8,0.3124,3.5,0.3836
,,,,,,,18,7.14,Nutrients added,7.3,0.2228,2.1,0.214
,,,,,,,19,7.14,Nutrients added,39.2,0.2232,3.2,0.2493
,,,,,,,20,7.14,Nutrients added,34.5,0.2623,2.2,0.3056
,,,,,,,21,7.14,Nutrients added,50.4,0.3609,2.8,0.2202
,,,,,,,22,7.14,Nutrients added,19,0.0486,0.4,0.1816
,,,,,,,23,7.14,Nutrients added,na,na,na,na
,,,,,,,24,7.14,Nutrients added,na,na,na,na
,,,,,,,25,7.14,Nutrients added,na,na,na,na
,,,,,,,1,7.29,Nutrients added,39.8,0.2966,2.7,0.3288
,,,,,,,2,7.29,Nutrients added,52.2,0.3204,1,0.3357
,,,,,,,3,7.29,Nutrients added,52.6,0.4344,3.7,0.4338
,,,,,,,4,7.29,Nutrients added,47.2,0.2345,0.5,0.1893
,,,,,,,5,7.29,Nutrients added,55.3,0.3555,0.6,0.3883
,,,,,,,6,7.29,Nutrients added,59.3,0.4372,0.7,0.3614
,,,,,,,7,7.29,Nutrients added,30.6,0.3572,0.9,0.2981
,,,,,,,8,7.29,Nutrients added,39.3,0.4173,3,0.3397
,,,,,,,9,7.29,Nutrients added,52.5,0.3975,2.4,0.305
,,,,,,,10,7.29,Nutrients added,44.5,0.2522,0.9,0.3114
,,,,,,,11,7.29,Nutrients added,49.5,0.3933,4,0.4361
,,,,,,,12,7.29,Nutrients added,45.6,0.3235,2.3,0.2891
,,,,,,,13,7.29,Nutrients added,na,na,na,na
,,,,,,,14,7.29,Nutrients added,43.9,0.3924,2.1,0.2727
,,,,,,,15,7.29,Nutrients added,48.8,0.2604,0.7,0.279
,,,,,,,16,7.29,Nutrients added,41.6,0.2778,3.4,0.2541
,,,,,,,17,7.29,Nutrients added,na,na,-7,na
,,,,,,,18,7.29,Nutrients added,49.5,0.3382,2.1,0.3066
,,,,,,,19,7.29,Nutrients added,50.6,0.3374,4.8,0.4018
,,,,,,,20,7.29,Nutrients added,45.2,0.2786,2.1,0.2269
,,,,,,,21,7.29,Nutrients added,na,na,na,na
,,,,,,,22,7.29,Nutrients added,na,na,na,na
,,,,,,,23,7.29,Nutrients added,na,na,na,na
,,,,,,,24,7.29,Nutrients added,48.2,0.7202,0,0.3273
,,,,,,,25,7.29,Nutrients added,na,na,na,na
,,,,,,,1,7.43,Nutrients added,51.6,0.3415,1.1,0.2691
,,,,,,,2,7.43,Nutrients added,44.6,0.3382,7,0.6319
,,,,,,,3,7.43,Nutrients added,42,0.1522,11.4,0.1847
,,,,,,,4,7.43,Nutrients added,49.2,0.2679,0.6,0.1728
,,,,,,,5,7.43,Nutrients added,73,0.3327,2.6,0.3377
,,,,,,,6,7.43,Nutrients added,49.2,0.286,1,0.2769
,,,,,,,7,7.43,Nutrients added,48.6,0.2771,3.2,0.2786
,,,,,,,8,7.43,Nutrients added,39.6,0.2574,2.6,0.2541
,,,,,,,9,7.43,Nutrients added,44.2,0.3802,0.2,0.1843
,,,,,,,10,7.43,Nutrients added,43.2,0.1702,1.8,0.1757
,,,,,,,11,7.43,Nutrients added,40.8,0.2518,2.2,0.236
,,,,,,,12,7.43,Nutrients added,35.8,0.3389,3.8,0.6094
,,,,,,,13,7.43,Nutrients added,37.8,0.2648,0.6,0.2212
,,,,,,,14,7.43,Nutrients added,22.4,0.1427,0,0.1479
,,,,,,,15,7.43,Nutrients added,55.6,0.3347,2.4,0.2366
,,,,,,,16,7.43,Nutrients added,na,na,na,na
,,,,,,,17,7.43,Nutrients added,44.4,0.0451,2,0.2558
,,,,,,,18,7.43,Nutrients added,10.8,0.0124,3,0.2367
,,,,,,,19,7.43,Nutrients added,na,na,na,na
,,,,,,,20,7.43,Nutrients added,36.8,0.1948,0.2,0.1639
,,,,,,,21,7.43,Nutrients added,37.8,0.3712,0,0.1848
,,,,,,,22,7.43,Nutrients added,na,na,na,na
,,,,,,,23,7.43,Nutrients added,na,na,na,na
,,,,,,,24,7.43,Nutrients added,na,na,na,na
,,,,,,,25,7.43,Nutrients added,na,na,na,na
,,,,,,,12a,7.43,Nutrients added,20.4,0.1392,na,na
,,,,,,,1,7.58,Nutrients added,40,0.3255,0.2,0.2625
,,,,,,,2,7.58,Nutrients added,35,0.3929,2,0.3807
,,,,,,,3,7.58,Nutrients added,56,0.5895,2.4,0.349
,,,,,,,4,7.58,Nutrients added,35,0.2947,2,0.3922
,,,,,,,5,7.58,Nutrients added,74,0.5322,2,0.3048
,,,,,,,6,7.58,Nutrients added,42,0.2927,2,0.3942
,,,,,,,7,7.58,Nutrients added,70,0.3581,2,0.3073
,,,,,,,8,7.58,Nutrients added,34,0.3022,1.2,0.2459
,,,,,,,9,7.58,Nutrients added,49.6,0.3352,1.6,0.4963
,,,,,,,10,7.58,Nutrients added,56,0.3786,1.6,0.2781
,,,,,,,11,7.58,Nutrients added,50.2,0.4417,2.8,0.4565
,,,,,,,12,7.58,Nutrients added,32.6,0.3044,2.4,0.4169
,,,,,,,13,7.58,Nutrients added,55.2,0.3581,3,0.4874
,,,,,,,14,7.58,Nutrients added,49.8,0.2437,0.8,0.1894
,,,,,,,15,7.58,Nutrients added,63,0.3626,0,0.24
,,,,,,,16,7.58,Nutrients added,48.8,0.2003,1.6,0.2517
,,,,,,,17,7.58,Nutrients added,45.8,0.2519,2.6,0.3008
,,,,,,,18,7.58,Nutrients added,51.4,0.3868,2.4,0.4418
,,,,,,,19,7.58,Nutrients added,39.4,0.288,2.2,0.2894
,,,,,,,20,7.58,Nutrients added,48.4,0.2779,2,0.2753
,,,,,,,21,7.58,Nutrients added,40.8,0.2466,-0.8,0.1697
,,,,,,,22,7.58,Nutrients added,24.8,0.1309,0,0.2672
,,,,,,,23,7.58,Nutrients added,na,na,na,na
,,,,,,,24,7.58,Nutrients added,18.8,0.1766,1.8,0.3947
,,,,,,,25,7.58,Nutrients added,na,na,na,na
,,,,,,,1,7.73,Nutrients added,41.8,0.301,1.4,0.256
,,,,,,,2,7.73,Nutrients added,59.8,0.4159,1.6,0.3661
,,,,,,,3,7.73,Nutrients added,43.8,0.2073,-2.8,0.1338
,,,,,,,4,7.73,Nutrients added,18.4,0.4715,-3,0.1732
,,,,,,,5,7.73,Nutrients added,45.8,0.3163,1.2,0.2428
,,,,,,,6,7.73,Nutrients added,47,0.5144,0.8,0.2785
,,,,,,,7,7.73,Nutrients added,45,0.3691,2.2,0.287
,,,,,,,8,7.73,Nutrients added,na,na,na,na
,,,,,,,9,7.73,Nutrients added,59.4,0.2608,1.2,0.2737
,,,,,,,10,7.73,Nutrients added,58,0.4635,1.8,0.2166
,,,,,,,11,7.73,Nutrients added,37.8,0.3917,-0.2,0.14
,,,,,,,12,7.73,Nutrients added,48.6,0.2701,-0.1,0.2331
,,,,,,,13,7.73,Nutrients added,58.4,0.3024,1.4,0.2806
,,,,,,,14,7.73,Nutrients added,na,na,na,na
,,,,,,,15,7.73,Nutrients added,na,na,na,na
,,,,,,,16,7.73,Nutrients added,na,na,na,na
,,,,,,,17,7.73,Nutrients added,na,na,na,na
,,,,,,,18,7.73,Nutrients added,na,na,na,na
,,,,,,,19,7.73,Nutrients added,36.2,0.282,1,0.4517
,,,,,,,20,7.73,Nutrients added,25.8,0.1553,0.8,0.2045
,,,,,,,21,7.73,Nutrients added,38.8,0.2459,2.8,0.2074
,,,,,,,22,7.73,Nutrients added,39.2,0.2235,1.4,0.4153
,,,,,,,23,7.73,Nutrients added,41.2,0.2154,0.4,0.1975
,,,,,,,24,7.73,Nutrients added,32.2,0.4729,2.2,0.2355
,,,,,,,25,7.73,Nutrients added,39.4,0.3201,na,na
,,,,,,,26,7.73,Nutrients added,34.2,0.2114,0.2,0.2071
,,,,,,,26a,7.73,Nutrients added,14.3,0.042,na,na
,,,,,,,1,7.86,Nutrients added,48,0.3168,2.4,0.5978
,,,,,,,2,7.86,Nutrients added,61,0.4082,3,0.832
,,,,,,,3,7.86,Nutrients added,44,0.3226,0.2,0.2898
,,,,,,,4,7.86,Nutrients added,53,0.2784,1.4,0.5432
,,,,,,,5,7.86,Nutrients added,50,0.2369,0.2,0.1811
,,,,,,,6,7.86,Nutrients added,24,0.2651,1,0.6469
,,,,,,,7,7.86,Nutrients added,52,0.3493,2,0.3781
,,,,,,,8,7.86,Nutrients added,na,na,na,na
,,,,,,,9,7.86,Nutrients added,32.4,0.2832,3,0.4035
,,,,,,,10,7.86,Nutrients added,44,0.283,1,0.1825
,,,,,,,11,7.86,Nutrients added,44,0.185,-0.8,0.1347
,,,,,,,12,7.86,Nutrients added,46,0.2684,2,0.2562
,,,,,,,13,7.86,Nutrients added,42,0.2189,1.8,0.2242
,,,,,,,14,7.86,Nutrients added,38,0.304,3.2,0.3102
,,,,,,,15,7.86,Nutrients added,na,na,na,na
,,,,,,,16,7.86,Nutrients added,47,0.2741,1.2,0.3082
,,,,,,,17,7.86,Nutrients added,44,0.1928,2,0.3301
,,,,,,,18,7.86,Nutrients added,36,0.2085,1.2,0.2794
,,,,,,,19,7.86,Nutrients added,43,0.1733,3,0.404
,,,,,,,20,7.86,Nutrients added,41,0.2352,3,0.3782
,,,,,,,21,7.86,Nutrients added,19,0.1376,0,0.6573
,,,,,,,22,7.86,Nutrients added,44,0.2712,3,0.4386
,,,,,,,23,7.86,Nutrients added,44,0.2832,2.4,0.2701
,,,,,,,24,7.86,Nutrients added,22,0.1679,2,0.3494
,,,,,,,25,7.86,Nutrients added,27,0.2439,2.4,0.4704
,,,,,,,25a,7.86,Nutrients added,33,na,na,na
